Имя Катушки;Тип катушки;Тип оболочки;Толщина стены;Мин. Радиус Изгиба;Единицы измерения;Внутренний диаметр до усадки;Наружный диаметр;Цвет;Плотность Провода;Единицы измерения массы;Наименование;Обозначение;Стандарт;
TRUBKA_305_TV-40T_4-5_BLKV;SHEATH;TUBE;0.6;7;MM;4.5;5.7;Черный;0.01233;GRAM;Трубка 305 ТВ-40Т, 4,5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_4-5_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_5_BLKV;SHEATH;TUBE;0.6;7;MM;5;6.2;Черный;0.01354;GRAM;Трубка 305 ТВ-40Т, 5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_5_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_6_BLKV;SHEATH;TUBE;0.6;7;MM;6;7.2;Черный;0.01596;GRAM;Трубка 305 ТВ-40Т, 6, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_6_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_7_BLKV;SHEATH;TUBE;0.6;7;MM;7;8.2;Черный;0.01838;GRAM;Трубка 305 ТВ-40Т, 7, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_7_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_8_BLKV;SHEATH;TUBE;0.6;7;MM;8;9.2;Черный;0.0208;GRAM;Трубка 305 ТВ-40Т, 8, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_8_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_9_BLKV;SHEATH;TUBE;0.6;7;MM;9;10.2;Черный;0.02322;GRAM;Трубка 305 ТВ-40Т, 9, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_9_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_10_BLKV;SHEATH;TUBE;0.7;7;MM;10;11.4;Черный;0.03019;GRAM;Трубка 305 ТВ-40Т, 10, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_10_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_12_BLKV;SHEATH;TUBE;0.7;7;MM;12;13.4;Черный;0.03853;GRAM;Трубка 305 ТВ-40Т, 12, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_12_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_14_BLKV;SHEATH;TUBE;0.7;7;MM;14;15.4;Черный;0.04148;GRAM;Трубка 305 ТВ-40Т, 14, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_14_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_16_BLKV;SHEATH;TUBE;0.9;10;MM;16;17.8;Черный;0.06131;GRAM;Трубка 305 ТВ-40Т, 16, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_16_BLKV;ГОСТ 19034-82;
